date,description
16 May 2022,"The Swedish government confirms it intends to apply for membership of NATO, joining neighbouring Finland."
17 May 2022,"Finland’s parliament overwhelmingly approves a proposal to apply for NATO membership. O f the 200 members of the legislature, 188 vote in favour and eight against the application."
25 May 2022,"Members of the Russian State Duma vote to approve a new law that will eliminate age limits for military contract soldiers. A ccording to the bill, men up to age 65 will now be eligible to serve in the army. The new limit also applies to foreign nationals wishing to serve in the army. President Putin signs a decree simplifying the process for residents of Ukraine’s Russian-occupied Kherson and Zaporizhzhia regions to acquire Russian citizenship and passports."
27 May 2022,"Russia blames Ukraine for the stalling of peace talks between the two countries, claiming Ukraine’s President Zelenskyy “constantly makes contradictory statements”."
30 May 2022,"The European Council says it is ready to grant Ukraine €9bn to aid its post- war reconstruction. European Council President Charles Michel said the Council will “continue helping Ukraine with its immediate liquidity needs, together with G7”. June - August 2022 Key events 7 June 2022: Russia’s parliament passes a pair of bills ending the ECHR’s jurisdiction in the country. 16 June 2022: The leaders of France, Germany, Italy and Romania visit Kyiv, vowing to support Ukraine’s bid to join the EU. 17 June 2022: UK Prime Minister Boris Johnson makes a surprise visit to Kyiv to meet Ukraine’s President Zelenskyy. 23 June 2022: The EU approves the application of Ukraine to become a candidate country. 5 July 2022: The 30 NATO member states sign accession protocols for Finland and Sweden, sending the membership bids of the two Nordic countries to allied parliaments for approval."
2 June 2022,"In a video address to the Luxembourg parliament, President Zelenskyy reveals Russian forces currently occupy about 20% of Ukraine’s territory. Ukrainian officials embark on a diplomatic push to start the country’s journey towards EU membership, as a number of member states express doubts about a fast-track approach."
3 June 2022,"Marking “100 days of Putin’s war”, Foreign Secretary Liz Truss says the UK’s steadfast support for Ukraine will never waver."
7 June 2022,"Russia's parliament passes a pair of bills ending the European Court of Human Rights’ jurisdiction in the country. T he first bill rem oves Russia from the court’s jurisdiction and the second sets 15 March as the cut- off point, with rulings against Russia made after that date not to be implemented."
9 June 2022,"The UK government says it is “deeply concerned” over the death sentences handed to the Britons Aiden Aslin and Shaun Pinner, who were captured while fighting for Ukraine."
11 June 2022,"A United Nations commission arrives in Ukraine to investigate war crimes. Deputy Speaker of Ukraine’s Parliament, Olena Kondratyuk, says the commission’s goal is to record war crimes and human rights violations."
14 June 2022,"Russia bans dozens of British journalists, media representatives and defence industry figures fr om entering the country. In a statement, Russia’s Foreign Ministry says this is in response to western sanctions and pressure on its state-run media outlets abroad."
16 June 2022,"The leaders of France, Germany, Italy and Romania vow to support Ukraine’s bid to join the EU o n a visit to Kyiv intended as a show of unity in the face of Russian advances and complaints from the Ukrainians about the pace of weapons supplies."
17 June 2022,The European Union's executive commission recommends Ukraine and its neighbour Moldova be designated candidates for membership of the bloc. UK Prime Minister Boris Johnson makes a surprise visit to Kyiv to meet Ukraine’s President Zelenskyy and later holds a press conference.
20 June 2022,"In an address to the African Union, President Zelenskyy calls Africa a “hostage” to Russia’s war in his country, which has led to global food shortages and famine fears across the African continent."
23 June 2022,The EU approves the application of Ukraine to become a candidate country follow ing the earlier recommendation of the European Commission on 17 June.
27 June 2022,"Leaders of the G7 pledge to stand with Ukraine “for as long as it takes” by ramping up sanctions on Russia and backing security commitments for Kyiv in a post-war settlement. In a telephone call, Russia’s President Vladimir Putin and his Brazilian counterpart, Jair Bolsonaro, discuss global food security and confirm their intention to strengthen their strategic partnership."
28 June 2022,"Speaking on the sidelines of the NATO summit in Madrid, the alliance’s Secretary-General, Jens Stoltenberg, says he does not see China as an adversary, but notes NATO is concerned about Beijing’s ever closer ties with Moscow."
29 June 2022,"Syria became the first nation other than Russia to formally recognise the two separatist republics in eastern Ukraine. In response, President Zelenskyy announces the end of diplomatic ties between Ukraine and Syria, adding the sanctions pressure against Syria “will be even greater”."
30 June 2022,"At the NATO Leaders’ Summit, the Prime Minister announces a further £1 billion package of military support to Ukraine. This bri ngs the total of UK military and economic support to £3.8 billion this year."
1 July 2022,"In a speech via video link to Ukraine’s parliament, the President of the European Commission tells Kyiv there is “a long road ahead” for its bid to become an EU member state, but that “Europe will be at your side every step of the way”."
4 July 2022,Ukraine’s Prime Minister Denys Shmyhal puts a $750bn (£620bn) price tag on the recovery of his country a t the Ukraine Recovery Conference hosted by Switzerland. Shmyhal also tells the conference Ukraine has so far suffered more than $100bn of direct damage to its infrastructure.
5 July 2022,"In a written statement, the UK Defence Secretary Ben Wallace says the first rotation of Ukrainian soldiers has arrived in the UK for training; p art of a £2.3bn military aid package that includes a programme to train up to 10,000 new Ukrainian recruits. The 30 NATO member states sign accession protocols for Finland and Sweden, sending the membership bids of the two Nordic countries to allied parliaments for approval. The protocol means Finland and Sweden can join in NATO meetings and have greater access to intelligence but will not be protected by an alliance defence clause – that an attack on one ally is an attack against all – until ratification."
6 July 2022,"Chinese Vice-Foreign Minister, Ma Zhaoxu, tells the Russian Ambassador to China, Andrey Denisov, that Beijing is willing to deepen cooperation with Russia within multilateral frameworks including the G20."
7 July 2022,"In his resignation speech outside Downing Street, Boris Johnson says he is “immensely proud” of the achievements of his government, including “leading the West in standing up to Putin’s aggression in Ukraine”, adding: “And let me say now, to the people of Ukraine, that I know that we in the UK will continue to back your fight for freedom for as long as it takes.” Johnson remains Prime Minister until a successor is appointed. In a statement released after the two leaders speak by telephone, Zelenskyy thanks Johnson for defending Ukraine’s interests after Russia’s invasion: “We all heard this news with sadness. Not only me, but also the entire Ukrainian society, which is very sympathetic to yo… We have no doubt that Great Britain’s support will be preserved, but your personal leadership and charisma made it special.”"
13 July 2022,"North Korea officially recognises the self-proclaimed Donetsk People’s Republic and the self-proclaimed Luhansk People’s Republic, the pro-R ussian occupied territories in the east of Ukraine. The move makes North Korea only the third UN member state to recognise them as legitimate authorities, after Russia and Syria. In response, Ukraine’s foreign ministry announces it has cut ties with the North Korea, saying: “We consider this decision as an attempt by Pyongyang to undermine the sovereignty and territorial integrity of Ukraine.”"
14 July 2022,"Addressing a conference at The Hague focused on war crimes in Ukraine, President Zelenskyy urges European and International Criminal Court officials to open a “special tribunal” to investigate Russia’s invasion of his country."
15 July 2022,"The Foreign, Commonwealth and Development Office summons the Russian Ambassador, Andrey Kelin, to express the UK’s concern over reports of the death of a British aid worker in the non-government controlled areas of Ukraine. In a statement, Foreign Secretary Liz Truss says: “I am shocked to hear reports of the death of British aid worker Paul Urey while in the custody of a Russian proxy in Ukraine. Russia must bear the full responsibility for this.”"
19 July 2022,"Dmitry Medvedev, Russia’s former President who is now Deputy Head of its Security Council says peace in Ukraine, when it comes, will be on Moscow’s terms and that Russia is on course to seize more parts of Ukraine, saying: “Russia will achieve all its goals. There will be peace – on our terms.”. Attending his first major summit outside of Russia since the invasion of Ukraine, President Putin wins the endorsement of the Iranian Supreme Leader, with Khamenei telling Putin: “War is a harsh and difficult issue, and Iran is not at all pleased that ordinary people suffer from it, but in the case of Ukraine if you had not taken the initiative, the other side would have caused the war with its own initiative. If the road is open to Nato, it knows no boundaries and if it was not stopped in Ukraine they would start the same war some time later under the pretext of Crimea.”"
1 August 2022,"Russia bans 39 senior British politicians, businesspeople and journalists f rom entering the country, including the Labour Party leader, Sir Keir Starmer, and former prime minister David Cameron."
9 August 2022,"The United Nations refugee agency, the UNHCR, reveals more than 10.5 million people have crossed the border from Ukraine si nce Russia’s invasion began on 24 February. US President Biden signs the documents of ratification t o formally back Finland and Sweden in joining the NATO alliance, saying: “In seeking to join NATO, Finland and Sweden are making a sacred commitment that an attack against one is an attack against all.”"
15 August 2022,"President Putin tells North Korean leader Kim Jong Un the two countries will “ expand the comprehensive and constructive bilateral relations with common efforts”. Kim notes the “strategic and tactical cooperation, support and solidarity” between the two countries has reached a new level in their common efforts to frustrate threats and provocations from hostile military forces. Putin also says Moscow values its ties with countries in Latin American, Asia and Africa an d is ready to offer modern weapons to its allies."
23 August 2022,"Prime Minister Boris Johnson urges world leaders not to allow President Putin to repeat the annexation of Crimea in other parts of Ukraine. In a remote address to the Crimea Platform conference, Johnson says the UK will continue to support Ukraine with military, humanitarian, economic and diplomatic support until Russia “ends this hideous war and withdraws its forces from the entirety of Ukraine”."
24 August 2022,"The UK Prime Minister visits Ukraine to announce further military support, noting: “What happens in Ukraine matters to us all. That is why I am in Kyiv today.” The latest £54m support package includes unmanned surveillance and missile systems for the Ukrainian military."
27 August 2022,"Russia blocks an agreement at the UN that is aimed at bolstering the nuclear non-proliferation treaty (NPT) because Moscow objects to a clause about control over the Zaporizhzhia power plant in Ukraine. The failure to agree to a joint statement after four weeks of debate and negotiation among 151 countries at the UN is the latest blow to hopes of maintaining an arms control regime. September - November 2022 Key events 6 September 2022: Liz Truss replaces Boris Johnson as UK Prime Minister. 21 September 2022: President Zelenskyy speaks virtually to the UN General Assembly in New York, saying the world wants peace. 30 September 2022: President Putin signs “accession treaties” formalising Russia’s illegal annexation of four occupied regions in Ukraine. Russia later vetoes a Western bid at the UN Security Council to condemn its annexations of Ukrainian territory. 5 October 2022: President Putin signs the laws to formally absorb four Ukrainian regions into Russia. 19 October 2022: Russia’s Foreign Minister, Sergei Lavrov, says Russia no longer sees a need to maintain a diplomatic presence in the West. 25 October 2022: Rishi Sunak replaces Liz Truss as UK Prime Minister. 5 November 2022: Iran acknowledges for the first time that it has supplied Moscow with drones. 10 November 2022: New data reveals the full effect of UK sanctions on Russia, with £18.39 billion of Russian assets sanctioned. 23 November 2022: The European Parliament votes to designate Russia a “state sponsor of terrorism”."
4 September 2022,"In a sign of easing tensions between Berlin and Kyiv, Ukraine’s Prime Minister Denys Shmyhal thanks Germany for its solidarity in the face of the Russian invasion a nd calls for more weapons, in a visit to Berlin to meet German Chancellor Olaf Scholz."
6 September 2022,"Russia’s Foreign Minister, Sergei Lavrov, criticises the UK’s new Prime Minister, Liz Truss, an d says the UK will not strengthen its position in the international arena under her leadership. Speaking at a news conference in Moscow, Lavrov says Truss tried to “defend Britain’s interests without taking into account the positions of others in any way and without any attempt to compromise”."
7 September 2022,"Prime Minister Liz Truss speaks to her Ukrainian counterpart President Zelenskyy t o pledge her “full backing” for Ukraine. A statement released by 10 Downing St notes: “In her first call with a counterpart since becoming prime minister, she reiterated to the Ukrainian leader that he had her full backing, and Ukraine could depend on the UK’s assistance for the long term. The leaders discussed the need to strengthen global security and the measures necessary to cut off the funds fuelling Putin’s war machine.”"
13 September 2022,A newly declassified cable released by the US State Department reveals Russia has covertly spent more than $300m since 2014 to try to influence politicians and other officials in more than two dozen countries.
14 September 2022,"European Commission President, Ursula von der Leyen, says Western sanctions on Russia are having a real impact and are here to stay, stressing the EU’s solidarity with Ukraine remains “unshakeable”. With the Ukrainian first lady, Olena Zelenska, as guest of honour Von der Leyen delivers her annual state of the union speech, telling the European Parliament: “Never before has this parliament debated the state of our union with war raging on European soil. And I stand here with the conviction that with courage and solidarity, Putin will fail and Europe will prevail,” Von der Leyen said, adding: “Europe’s solidarity with Ukraine will remain unshakeable.” Following a telephone conversation with President Putin, the UN Secretary-General says the prospects for peace in Ukraine are currently “minimal”. Antonio Guterres says he and Putin discussed efforts to overcome “obstacles”, but stresses: “I have the feeling we are still far away from peace. I would be lying if I would say it could happen soon.”"
16 September 2022,"The UN food chief says the world is facing “a global emergency of unprecedented magnitude,” with up to 345 million people at risk of starvation and 70 million pushed closer to starvation by the war in Ukraine."
18 September 2022,"The first lady of Ukraine, Olena Zelenska, pays her respects to the late Queen Elizabeth II’s lying in state at Westminster Hall, before attending a reception with the Princess of Wales at Buckingham Palace."
21 September 2022,"President Zelenskyy speaks virtually to the UN General Assembly i n New York , saying: “Ukraine wants peace. Europe wants peace. The world wants peace. And we have seen who is the only one who wants war. There is only one entity among all UN member states who would say now if he could interrupt my speech that he is happy with this war, with his war.”"
22 September 2022,"In a special Foreign Minister-level UN Security Council meeting on Ukraine, James Cleverly reiterates the UK’s full and unwavering commitment to Ukraine’s sovereignty, independence and territorial integrity. Russia’s Foreign Minister briefly attends the meeting to give his speech, before promptly walking out."
24 September 2022,"Iran’s ministry spokesperson, Nasser Kanaani, warns Ukraine t o “refrain from being influenced by third parties who seek to destroy relations between the two countries”. The statement comes after Ukraine downgraded diplomatic ties with Iran on and stripped its ambassador of his accreditation over what it called Tehran’s “unfriendly” decision to supply Russian forces with drones."
25 September 2022,"Sergei Lavrov says the four regions of Ukraine where widely-criticised referendums are being held will be under Moscow’s “full protection” if they are annexed. At a news conference following his speech to the UN General Assembly in New York, Lavrov is asked whether Russia would have grounds for using nuclear weapons to defend annexed regions of Ukraine. He says Russian territory – including territory “further enshrined” in Russia’s constitution in the future – “is under the full protection of the state”."
27 September 2022,"The US Embassy in Moscow issues a security alert and urges American citizens to leave Russia immediately. In a statement on its website the US Embassy warns that dual Russian-US nationals may be called up as part of the Russian government’s mobilisation in support of its invasion of Ukraine, noting: “Russia may refuse to acknowledge dual nationals’ U.S. citizenship, deny their access to U.S. consular assistance, prevent their departure from Russia, and conscript dual nationals for military service.”"
28 September 2022,"Prime Minister Liz Truss tells President Zelenskyy in a phone call that the UK will never recognise Russian attempts to annex parts of Ukraine. A statement issued by 10 Downing St reads: “The prime minister spoke to President Zelenskyy this afternoon to underline the UK’s steadfast support in light of Russia’s sham referendums in Ukraine. The prime minister made clear that the UK would never recognise Russian attempts to annexe sovereign territory. She reiterated that Ukraine could depend on the UK’s support until President Putin was defeated. President Zelensky updated the prime minister on the current military situation and welcomed her strong backing, including at the UN general assembly last week.”"
30 September 2022,"President Putin signs “accession treaties” formalising Russia’s illegal annexation of four occupied regions in Ukraine, marking the largest forcible takeover of territory in Europe since the second world war. Hours later, President Zelenskyy announces Ukraine is officially applying for membership of NATO. In the evening, Russia vetoes a Western bid at the UN Security Council to condemn its annexations of Ukrainian territory, specifically the regions of Luhansk, Donetsk, Kherson, and Zaporizhzhia. The draft resolution, circulated by the US and Albania, was supported by ten of the fifteen members of the Security Council. Russia voting against it, with four members abstaining: Brazil, China, Gabon and India. Speaking afterwards, the UK’s Ambassador condemned Russia f or using its veto to block the resolution."
2 October 2022,"The presidents of nine NATO countries in central and eastern Europe declare they will never recognise the annexation by Russia of Ukrainian territory. The statement – issued by the presidents of the Czech Republic, Estonia, Latvia, Lithuania, Montenegro, North Macedonia, Poland, Romania and Slovakia – says they could not “stay silent in the face of the blatant violation of international law by the Russian Federation” and that “We reiterate our support for the sovereignty and territorial integrity of Ukraine.”"
5 October 2022,"President Putin signs the laws to formally absorb four Ukrainian regions into Russia. Russia’s State Duma, the lower house of parliament, announces: “Russian President Vladimir Putin has signed four federal constitutional laws on the entry of the Donetsk and Luhansk People’s Republics, Zaporizhzhia and Kherson regions into the Russian Federation. He also signed the relevant laws on ratification.”"
10 October 2022,"At a UN General Assembly Emergency Special Session on Ukraine, the UK Ambassador urges UN member states “ to condemn the largest forcible annexation attempt since the Second World War”."
11 October 2022,"G7 leaders hold a meeting “to reiterate the unity of opposition to Putin’s continued brutality in Ukraine”. At the G7 meeting, Ukraine’s President Zelenskyy calls for an international monitoring mission on the Ukraine-Belarus border, saying: “Russia is trying to directly draw Belarus into this war, playing a provocation that we are allegedly preparing an attack on this country.” In a statement issued following the summit, the leaders of the G7 vow to hold President Vladimir Putin and those responsible for the attacks on Ukraine to account. They also say they will “never recognise” Russia’s “illegal annexation” of Ukrainian territory or “the sham referenda that Russia uses to justify it”."
12 October 2022,"The UN General Assembly passes a resolution calling on member states not to recognise the four Ukrainian regions claimed by Russia and to demand Moscow reverses course on its “attempted illegal annexation”. 143 UN member states vote in favour of the resolution, with five against: Russia, Syria, Nicaragua, North Korea and Belarus. Thirty-five countries abstain, including Russia’s strategic partner China, together with India, South Africa and Pakistan. The rest did not vote."
18 October 2022,"Ukraine’s Foreign Minister, Dmytro Kuleba, announces he is submitting a proposal to President Zelenskyy to cut diplomatic ties with Iran. Kuleba also said Kyiv will send an official note to Israel seeking immediate air defence supplies and cooperation in the sector."
19 October 2022,"Russia’s Foreign Minister, Sergei Lavrov, says Russia no longer sees a need to maintain a diplomatic presence in the West a ccording to the Russian news agency TASS, who quotes him as saying: “There is neither point nor desire to maintain the previous presence in Western states. Our people work there in conditions that can hardly be called human. Problems are being created constantly for them; they face threats of physical assaults. And, most importantly, there’s no work to do since Europe decided to shut off from us and sever any economic cooperation. You can’t force love.”"
23 October 2022,"UK Defence Secretary Ben Wallace speaks to his Russian counterpart, Sergei Shoigu, in a rare telephone call initiated at the request of the Russians. In the call, Wallace refutes claims that Ukraine, facilitated by Western counties including the UK, were planning to escalate the conflict in Ukraine."
24 October 2022,"Russia’s Military Chief of General Staff Valery Gerasimov speaks to the UK’s Chief of Defence Staff Tony Radakin and the Chairman of the US Joint Chiefs of Staff Mark Milley. The Russian defence ministry says Gerasimov and his British counterpart discussed the possibility, raised by Moscow without any evidence, that Ukraine might use a “dirty bomb”. The claims are categorically rejected by Radakin."
25 October 2022,"Hours after becoming the UK Prime Minister, Rishi Sunak speaks to US President Joe Biden an d they agree to work together to support Ukraine."
27 October 2022,"President Putin gives a speech to a meeting of the Valdai discussion forum in Moscow, a thinktank with close links to the Kremlin, generally considered to be part of Moscow’s propaganda machine. In his speech, Putin accuses “Western elites” of playing a “dangerous, bloody and dirty game” an d blames them for much of the world’s trouble, including his own invasion of Ukraine."
3 November 2022,"In an interview with Sky News, Andrei Kelin, the Russian ambassador to the United Kingdom, warns that that the UK is in “too deep” in the war in Ukraine, claiming he has proof that UK special forces have been involved in a Ukrainian drone attack on Russia’s Black Sea fleet in Crimea."
5 November 2022,"Iran acknowledges for the first time that it has supplied Moscow with drones, b ut sa ys the drones were sent before the war in Ukraine."
8 November 2022,"US National Security Adviser Jake Sullivan confirms communication channels between Washington and Moscow remain open. Speaking at an event at the Economic Club of New York, Sullivan says it is “in the interests” of the US and every country affected by the war in Ukraine to maintain contact with the Kremlin."
10 November 2022,"New data reveals the full effect of UK sanctions on Russia, with £18.39 billion of Russian assets frozen and reported to the Office of Financial Sanctions Implementation (OFSI)."
13 November 2022,"US Treasury Secretary Janet Yellen says some sanctions on Russia could remain in place after any peace agreement with Ukraine. Yellen says any eventual peace agreement will involve a review of the penalties the US and its allies have imposed on Russia’s economy. In an interview while attending the G20 summit in Indonesia, Yellen says: “I suppose in the context of some peace agreement, adjustment of sanctions is possible and could be appropriate.”"
14 November 2022,"The EU and its member states have so far provided weapons and military equipment worth a total of at least €8bn (£7bn) to Ukraine, according to the bloc’s foreign policy chief Josep Borrell. Speaking to reporters after a meeting with his EU counterparts in Brussels, he said this was about 45% of what the US has supplied to Kyiv. The United Nations General Assembly calls for Russia to make reparations to Ukraine and be held accountable for its conduct. The resolution, supported by 94 of the Assembly’s 193 members, says Russia “must bear the legal consequences of all of its internationally wrongful acts, including making reparation for the injury, including any damage, caused by such acts.”"
15 November 2022,"In his address to world leaders gathered for the G20 summit in Indonesia, President Zelenskyy outlines a series of conditions needed to end the war Ukraine. Speaking virtually from Ukraine, Zelenskyy says Russia must reaffirm the territorial integrity of Ukraine, withdraw its troops from Ukrainian territory and pay compensation for damage caused. Zelenskyy also calls for an international conference to “cement key element of the postwar security architecture” and prevent a recurrence of “Russian aggression”. Throughout his speech Zelenskyy thanks the “G19”, thus excluding Russia. Russia’s President Putin was not in the room, but his foreign minister Sergei Lavrov was in attendance. Meanwhile, the UN human rights office (OHCHR) says both Russia and Ukraine have tortured prisoners of war d uring the conflict, citing examples including the use of electric shocks and forced nudity. UK Prime Minister Rishi Sunak says he has spoken to Polish President Andrzej Duda following reports of a missile strike in Poland, a nd affirms “ the UK's solidarity with Poland.”"
16 November 2022,"Poland’s President Duda says the missile that landed in his country and killed two appears to be an “unfortunate accident” and there is no evidence it was launched by Russia, adding It is “highly probably that it was fired by Ukrainian anti-aircraft defence” and “unfortunately fell into Polish territory.” Following an emergency meeting on the margins of the G20 Summit in Indonesia, NATO and G7 leaders condemn Russia’s “barbaric missile attacks” on Ukraine. The leaders of Canada, the EU, France, Germany, Italy, Japan, the Netherlands, Spain, the UK and the US release the following statement: “We condemn the barbaric missile attacks that Russia perpetrated on Ukrainian cities and civilian infrastructure on Tuesday. We discussed the explosion that took place in the eastern part of Poland near the border with Ukraine. We offer our full support for and assistance with Poland’s ongoing investigation. We agree to remain in close touch to determine appropriate next steps as the investigation proceeds. We reaffirm our steadfast support for Ukraine and the Ukrainian people in the face of ongoing Russian aggression, as well as our continued readiness to hold Russia accountable for its brazen attacks on Ukrainian communities.”"
19 November 2022,"In his first visit to Kyiv, Prime Minister Rishi Sunak meets President Zelenskyy and confirms the UK will provide a new package of air defence to help protect Ukrainian civilians and critical national infrastructure. The £50 million package comprises 125 anti-aircraft guns and technology to counter deadly Iranian-supplied drones."
21 November 2022,"In a video address to NATO Parliamentary Assembly’s annual session in Madrid, Pr esident Zelenskyy appeals to members to guarantee the protection of his country’s nuclear power plants from “Russian sabotage”. Zelenskyy also calls for new EU sanctions against Russia over what he said was its “policy of genocide” as its forces bomb civilian infrastructure."
23 November 2022,"The European Parliament votes to designate Russia a “state sponsor of terrorism”. In a largely symbolic vote, MEPs argue Russia’s military strikes on civilian targets such as energy infrastructure, hospitals, schools and shelters violate international law."
28 November 2022,"The foreign ministers of Estonia, Finland, Iceland, Latvia, Lithuania, Norway and Sweden visit Kyiv to show their support for Ukraine . UK Foreign Secretary, James Cleverly, meets Ukraine’s first lady Olena Zelenska d uring her visit to London to discuss the prevention of sexual violence in conflicts. The Foreign Secretary affirms: “The UK stands with Ukraine, and with all survivors of these despicable crimes.”"
29 November 2022,"In Westminster, Mrs Zelenska addresses MPs and peers and echoes Churchill’s words when speaking about air raid sirens in Ukraine: “We’re hearing sirens every day. They are identical to those which were heard by British generations. You did not surrender and we will not surrender. But victory is not the only thing we need. We need justice. I come to you for justice.” Key events 8 December 2022: President Putin admits Russia’s war in Ukraine could turn into a “long-term process”. 19 December 2022: President Putin discusses closer military cooperation with his Belarusian counterpart, Alexander Lukashenko, during a rare visit to the country. 26 December 2022: Ukraine calls for Russia to be removed as a permanent member of the UN Security Council. 14 January 2023: Prime Minister Rishi Sunak confirms the UK is planning to provide Ukraine with a small number of Challenger 2 tanks. 30 January 2023: President Recep Tayyip Erdoğan says Turkey could accept Finland into NATO without its Nordic neighbour Sweden. Ukraine’s Prime Minister, Denys Shmyhal, says he wants the country to join the EU within two years. 17 February 2023: World leaders gather in Germany for the Munich security conference, to discuss Europe’s security situation following Russia’s invasion of Ukraine. 20 February 2023: President Biden visits the Ukrainian capital, Kyiv, to meet President Zelenskyy. 21 February 2023: President Putin announces Russia will suspend the New START bilateral nuclear treaty with the US. 22 February 2023: President Putin revokes a 2012 decree that in part underpins Moldova's sovereignty. China’s top diplomat, Wang Yi, meets President Putin in Moscow, as they reaffirm their close bilateral relationship. 23 February 2023: The UN General Assembly adopts a resolution calling for the ending of the war in Ukraine. 24 February 2023: First anniversary of Russia’s invasion into Ukraine. China releases a 12-point position paper outlining its stance on the Ukraine conflict, portraying itself as a neutral party and urging the two sides to enter into peace negotiations."
2 December 2022,"Finland’s Prime Minister, Sanna Marin, calls for Europe to build its own defence capabilities in the wake of the war in Ukraine, so as to have resilience without US support: “We should make sure that we are stronger. And I’ll be brutally honest with you, Europe isn’t strong enough. We would be in trouble without the United States.”"
3 December 2022,"The Ukrainian Foreign Minister, Dmytro Kuleba, accuses Russia of orchestrating a series of letters containing explosives or animal parts tha t were sent to 17 Ukrainian embassies or diplomatic missions around the world in recent days."
8 December 2022,"Speaking to members of his personal human rights council, President Putin admits Russia’s war in Ukraine could turn into a “long-term process”."
10 December 2022,"In an interview with Norwegian broadcaster NRK, the head of NATO expresses concerns that the fighting in Ukraine could spin out of control and become a war between Russia and NATO: “If things go wrong, they can go horribly wrong. It is a terrible war in Ukraine. It is also a war that can become a full-fledged war that spreads into a major war between NATO and Russia. We are working on that every day to avoid that.”"
11 December 2022,"The EU foreign policy chief, Josep Borell, calls for more work on European security and defence, urging the region to “spend better and cooperate more”. In a statement published late in the evening, Borrell says: “This war has also been a wake-up call for all of us about our military capabilities. We have given weapons to Ukraine, but in so doing, we realised that our military stockpiles have been depleted. With conventional war returning to the heart of Europe, we also realised that we are lacking critical defence capabilities, to be able to protect ourselves from a higher level of threats on the European continent itself.”"
12 December 2022,"The EU agrees an additional €2bn in support to a fund used to supply Ukraine with weapons. EU foreign ministers meeting in Brussels signed off the money for the “European Peace Facility”, a fund that has been largely used to reimburse member states for supplying Ukraine with weapons and non- lethal military kit. “This decision sends a clear political signal of the EU’s enduring commitment to military support for Ukraine and other partners alike,” the EU Council of Ministers said in a statement. G7 leaders, joined by President Zelenskyy, hold a meeting an d reaffirm their “unwavering support for – and solidarity with – Ukraine in the face of ongoing Russian war of aggression for as long as it takes”."
14 December 2022,German Chancellor Olaf Scholz says it is in the interest of Germany and Europe for the remaining Balkan states to become EU member states an d welcomes the decision to grant Bosnia candidate status. Supporters of the EU’s eastward expansion argue the bloc’s engagement with the western Balkans is vital for protecting European security in the face of Russian aggression. Croatia is currently the only western Balkan state that has secured EU membership and the process of joining can take many years.
19 December 2022,"Addressing a meeting in Latvia of leaders of countries in the Joint Expeditionary Force, which includes the UK Prime Minister Rishi Sunak, Zelenskyy says: “Russian aggression can and must fail. The task now is to make sure it happens faster. I call upon you to do everything to accelerate the defeat of the occupiers.” President Putin discusses closer military cooperation with his Belarusian counterpart, Alexander Lukashenko, during a rare visit to the country, as fears grow in Kyiv that Moscow is pushing its closest ally to join a new ground offensive against Ukraine."
21 December 2022,"President Biden and President Zelenskyy hold bilateral meetings at the White House in which additional defence aid to Ukraine is discussed. Biden announces a new $1.85 billion aid package which will include a Patriot missile battery. This is Zelenskyy’s first trip outside Ukraine since Russia’s invasion of Ukraine began 300 days ago. In a later address to the US Congress , Zelenskyy emphasises US aid will help Ukraine to secure a victory that will make the world safer."
26 December 2022,"Ukraine calls for Russia to be removed as a permanent member of the UN Security Council, arguing Moscow’s “illegitimate” presence in the UN has been “marked by wars and seizures of other countries’ territories”. In a statement, the Ukrainian foreign ministry says: “Ukraine calls on the member states of the UN ... to deprive the Russian Federation of its status as a permanent member of the UN security council and to exclude it from the UN as a whole.”"
29 December 2022,"The Ukrainian ambassador to Belarus is summoned to the foreign ministry in Minsk to receive a formal protest amid a Ukrainian air defence missile straying into Belarussian air space. Belarus’ foreign ministry spokesperson Anatoly Glaz views the incident as extremely serious, adding: “We demanded that the Ukrainian side conduct a thorough investigation ... [and] hold those responsible to account and take comprehensive measures to prevent the recurrence of such incidents in the future.”"
30 December 2022,"Russia’s President Putin invites his Chinese counterpart, Xi Jinping, to make a state visit to Russia t he following spring, as Moscow seeks to deepen its ties with China amid growing international isolation over the war in Ukraine. Speaking to Xi via a videoconference, Putin says Russia’s ties with China are the “best in history”."
31 December 2022,"President Putin uses his New Year address to the nation to accuse Western countries of aggression and trying to use the conflict in Ukraine to undermine Moscow. Echoing his repeated contention that Moscow had no choice but to send troops into Ukraine, Putin says: “It was a year of difficult, necessary decisions, the most important steps toward gaining full sovereignty of Russia and powerful consolidation of our society.”"
11 January 2023,"Speaking in a televised meeting with officials, President Putin says the situation in the regions of Ukraine that had been annexed by Russia Ukrainian regions was “difficult in places”. President Zelenskyy urges NATO to do more than just promise Ukraine its door is open and that Ukraine needs “powerful steps” as it tries to join the alliance. Speaking in Lviv, Zelenskyy said: “For today, just support for Ukraine from colleagues in NATO and support in the form of rhetoric about open doors is not enough for Ukraine. Namely, not enough to motivate our state ... our soldiers.”"
14 January 2023,Prime Minister Rishi Sunak confirms the UK is planning to provide Ukraine with a small number of Challenger 2 tanks.
16 January 2023,"In a statement to the House of Commons, Defence Secretary Ben Wallace says the UK’s decision to send Challenger 2 tanks to Ukraine is a “calibrated response to Russia’s growing aggression and indiscriminate bombing”, adding “None of the international support for Ukraine is an attack on Russia, or NATO-orchestrated aggression, let alone a proxy war.”"
